generation,vitesse,taille,pv
1,1.9166666666666667,29.25,3.0
2,2.8333333333333335,29.833333333333332,3.6666666666666665
3,2.6666666666666665,30.5,4.583333333333333
4,3.0833333333333335,30.0,4.416666666666667
5,3.75,29.916666666666668,4.583333333333333
6,3.9166666666666665,29.083333333333332,4.583333333333333
7,4.0,29.666666666666668,5.166666666666667
8,3.6666666666666665,29.75,6.0
9,4.166666666666667,29.333333333333332,6.25
10,4.25,29.166666666666668,6.75
11,4.583333333333333,29.0,7.25
12,4.583333333333333,29.0,7.25
13,4.75,28.583333333333332,7.25
14,4.916666666666667,28.5,7.083333333333333
15,5.333333333333333,27.916666666666668,7.666666666666667
16,5.25,27.75,8.0
17,5.5,27.166666666666668,7.5
18,5.5,26.916666666666668,8.0
19,5.75,26.75,8.583333333333334
20,5.333333333333333,26.0,9.0
21,5.583333333333333,26.333333333333332,9.583333333333334
22,6.083333333333333,26.75,9.583333333333334
23,6.333333333333333,26.166666666666668,10.0
24,6.583333333333333,26.166666666666668,10.583333333333334
25,6.0,26.666666666666668,10.5
26,6.0,26.833333333333332,11.5
27,5.833333333333333,26.583333333333332,12.083333333333334
28,5.916666666666667,26.333333333333332,12.25
29,6.083333333333333,26.0,12.166666666666666
30,6.583333333333333,25.333333333333332,12.416666666666666
31,6.916666666666667,25.083333333333332,12.416666666666666
32,6.833333333333333,24.5,12.666666666666666
33,7.5,24.583333333333332,12.583333333333334
34,7.666666666666667,24.75,13.083333333333334
35,7.833333333333333,24.583333333333332,12.5
36,8.083333333333334,24.25,12.333333333333334
37,7.833333333333333,23.666666666666668,12.916666666666666
38,8.083333333333334,23.5,13.5
39,7.916666666666667,23.166666666666668,13.666666666666666
40,7.666666666666667,22.416666666666668,13.916666666666666
41,7.75,22.416666666666668,14.083333333333334
42,8.166666666666666,22.25,14.75
43,8.25,22.666666666666668,15.166666666666666
44,8.583333333333334,22.666666666666668,15.666666666666666
45,8.916666666666666,22.833333333333332,15.833333333333334
46,8.75,23.0,15.916666666666666
47,9.416666666666666,23.083333333333332,16.0
48,9.583333333333334,22.75,15.916666666666666
49,8.916666666666666,22.416666666666668,16.583333333333332
50,8.75,22.166666666666668,16.916666666666668
51,8.75,21.583333333333332,17.333333333333332
52,8.5,21.0,17.416666666666668
53,8.75,20.666666666666668,17.25
54,9.0,20.5,17.5
55,9.5,20.75,17.583333333333332
56,9.083333333333334,20.416666666666668,17.25
57,9.583333333333334,20.5,16.916666666666668
58,9.083333333333334,20.5,16.916666666666668
59,9.416666666666666,20.333333333333332,16.416666666666668
60,9.916666666666666,20.166666666666668,16.583333333333332
61,9.916666666666666,20.0,16.25
62,9.833333333333334,20.166666666666668,16.333333333333332
63,9.916666666666666,20.25,16.416666666666668
64,9.916666666666666,20.333333333333332,16.5
65,10.416666666666666,20.583333333333332,16.416666666666668
66,10.166666666666666,20.25,16.916666666666668
67,10.083333333333334,20.333333333333332,17.25
68,10.083333333333334,20.25,17.25
69,9.416666666666666,20.5,17.583333333333332
70,9.833333333333334,20.916666666666668,17.666666666666668
71,10.166666666666666,20.5,17.666666666666668
72,10.666666666666666,20.25,18.0
73,10.75,20.333333333333332,18.083333333333332
74,10.416666666666666,20.416666666666668,18.5
75,10.916666666666666,20.583333333333332,18.75
76,11.083333333333334,20.416666666666668,19.166666666666668
77,11.833333333333334,20.25,19.0
78,12.083333333333334,20.25,19.083333333333332
79,12.083333333333334,20.333333333333332,19.166666666666668
80,12.083333333333334,20.333333333333332,19.5
81,12.083333333333334,20.25,19.166666666666668
82,11.583333333333334,20.333333333333332,19.333333333333332
83,12.0,20.166666666666668,19.666666666666668
84,12.0,20.416666666666668,19.833333333333332
85,11.916666666666666,20.25,20.0
86,11.666666666666666,20.25,20.5
87,11.75,20.333333333333332,21.416666666666668
88,11.916666666666666,20.5,21.416666666666668
89,11.916666666666666,20.583333333333332,21.416666666666668
90,12.083333333333334,21.0,21.416666666666668
91,12.0,21.0,21.416666666666668
92,12.0,20.25,21.166666666666668
93,12.083333333333334,20.416666666666668,21.5
94,12.083333333333334,20.0,22.25
95,12.25,20.25,22.166666666666668
96,12.0,20.166666666666668,22.0
97,11.833333333333334,20.25,22.333333333333332
98,11.666666666666666,20.416666666666668,22.583333333333332
99,11.083333333333334,20.25,22.75
100,11.25,20.333333333333332,23.166666666666668
101,10.75,20.416666666666668,23.666666666666668
102,10.75,20.166666666666668,23.666666666666668
103,11.0,20.333333333333332,23.666666666666668
104,11.0,20.75,24.25
105,11.083333333333334,20.833333333333332,24.666666666666668
106,11.083333333333334,20.5,24.75
107,10.833333333333334,20.5,25.0
108,10.5,20.666666666666668,25.5
109,10.416666666666666,20.25,25.166666666666668
110,10.083333333333334,20.166666666666668,25.333333333333332
111,10.0,20.333333333333332,25.083333333333332
112,10.583333333333334,20.166666666666668,24.666666666666668
113,10.833333333333334,20.333333333333332,24.5
114,10.833333333333334,20.25,24.166666666666668
115,10.333333333333334,20.416666666666668,24.25
116,10.083333333333334,20.166666666666668,24.25
117,10.0,20.25,24.5
118,10.083333333333334,20.166666666666668,24.916666666666668
119,10.666666666666666,20.25,25.666666666666668
120,10.666666666666666,20.416666666666668,25.916666666666668
121,10.833333333333334,20.666666666666668,25.333333333333332
122,11.0,20.5,25.166666666666668
123,11.083333333333334,20.333333333333332,25.166666666666668
124,10.666666666666666,20.333333333333332,24.833333333333332
125,10.75,20.333333333333332,25.083333333333332
126,10.5,20.333333333333332,25.25
127,10.333333333333334,20.25,24.916666666666668
128,10.25,20.333333333333332,24.5
129,10.333333333333334,20.75,24.916666666666668
130,9.833333333333334,21.0,25.0
131,10.5,20.416666666666668,25.416666666666668
132,11.333333333333334,20.25,25.583333333333332
133,11.416666666666666,20.416666666666668,25.833333333333332
134,11.083333333333334,20.416666666666668,26.0
135,11.166666666666666,20.25,26.0
136,11.666666666666666,20.25,25.916666666666668
137,11.916666666666666,20.166666666666668,25.833333333333332
138,11.583333333333334,20.333333333333332,25.5
139,12.416666666666666,20.25,25.0
140,12.5,20.25,24.416666666666668
141,12.333333333333334,20.25,24.0
142,12.166666666666666,20.333333333333332,23.75
143,12.416666666666666,20.416666666666668,23.5
144,12.583333333333334,20.166666666666668,24.25
145,12.5,20.166666666666668,24.916666666666668
146,11.666666666666666,20.25,25.0
147,11.666666666666666,20.333333333333332,25.583333333333332
148,12.583333333333334,20.25,25.0
149,12.666666666666666,20.333333333333332,24.833333333333332
150,12.416666666666666,20.333333333333332,25.083333333333332
151,12.166666666666666,20.333333333333332,25.416666666666668
152,12.333333333333334,20.166666666666668,25.25
153,12.416666666666666,20.416666666666668,25.5
154,12.166666666666666,20.25,24.916666666666668
155,11.583333333333334,20.25,25.5
156,11.25,20.083333333333332,25.75
157,10.833333333333334,20.25,25.333333333333332
158,11.166666666666666,20.333333333333332,25.333333333333332
159,11.083333333333334,20.416666666666668,25.166666666666668
160,10.833333333333334,20.333333333333332,25.333333333333332
161,10.916666666666666,20.416666666666668,25.75
162,10.416666666666666,20.416666666666668,26.083333333333332
163,10.75,20.5,25.5
164,10.666666666666666,20.75,25.333333333333332
165,10.75,20.833333333333332,25.25
166,10.583333333333334,20.25,24.416666666666668
167,11.0,20.25,24.25
168,11.166666666666666,20.083333333333332,24.25
169,10.833333333333334,20.25,24.083333333333332
170,10.75,20.416666666666668,24.0
171,10.916666666666666,20.416666666666668,24.083333333333332
172,10.583333333333334,20.833333333333332,24.0
173,10.083333333333334,20.583333333333332,23.833333333333332
174,10.25,20.416666666666668,24.0
175,9.833333333333334,21.0,24.416666666666668
176,10.0,20.416666666666668,24.166666666666668
177,9.916666666666666,20.25,23.75
178,10.083333333333334,20.25,23.416666666666668
179,10.0,20.25,23.166666666666668
180,9.916666666666666,20.416666666666668,23.333333333333332
181,9.25,20.75,23.166666666666668
182,8.75,20.666666666666668,23.083333333333332
183,8.583333333333334,20.916666666666668,23.666666666666668
184,8.666666666666666,20.916666666666668,24.0
185,8.75,21.416666666666668,24.0
186,8.833333333333334,20.916666666666668,23.833333333333332
187,9.5,20.5,24.416666666666668
188,9.916666666666666,20.416666666666668,24.25
189,10.166666666666666,20.083333333333332,24.833333333333332
190,10.666666666666666,20.333333333333332,24.5
191,10.416666666666666,20.166666666666668,24.166666666666668
192,10.5,20.083333333333332,25.166666666666668
193,10.833333333333334,20.666666666666668,24.666666666666668
194,10.666666666666666,20.25,24.25
195,10.25,20.333333333333332,24.083333333333332
196,10.416666666666666,20.333333333333332,24.25
197,11.25,20.166666666666668,24.083333333333332
198,11.583333333333334,20.166666666666668,24.583333333333332
199,12.083333333333334,20.5,25.25
200,12.666666666666666,20.333333333333332,24.666666666666668
201,12.833333333333334,20.166666666666668,24.166666666666668
202,12.333333333333334,20.583333333333332,24.5
203,12.5,20.583333333333332,24.5
204,12.25,20.333333333333332,24.416666666666668
205,12.166666666666666,20.166666666666668,24.833333333333332
206,12.166666666666666,20.333333333333332,25.5
207,12.25,20.333333333333332,25.833333333333332
208,11.75,20.416666666666668,26.333333333333332
209,11.416666666666666,20.75,26.25
210,11.25,20.5,26.0
211,11.5,20.916666666666668,26.333333333333332
212,11.5,20.583333333333332,26.25
213,10.666666666666666,20.916666666666668,25.666666666666668
214,11.416666666666666,20.666666666666668,26.166666666666668
215,11.833333333333334,20.583333333333332,26.333333333333332
216,12.416666666666666,20.583333333333332,26.916666666666668
217,12.916666666666666,20.25,26.666666666666668
218,12.666666666666666,20.333333333333332,26.75
219,12.166666666666666,20.5,27.083333333333332
220,11.583333333333334,20.25,27.5
221,11.083333333333334,20.333333333333332,27.0
222,11.666666666666666,20.25,27.25
223,12.166666666666666,20.166666666666668,27.416666666666668
224,11.666666666666666,20.166666666666668,27.083333333333332
225,11.833333333333334,20.833333333333332,27.583333333333332
226,12.333333333333334,20.583333333333332,27.833333333333332
227,12.333333333333334,20.166666666666668,27.916666666666668
228,12.0,20.25,28.333333333333332
229,12.25,20.166666666666668,28.0
230,12.083333333333334,20.166666666666668,27.75
231,11.583333333333334,20.25,28.416666666666668
