generation,type1,type2,type3
2,6,4,2
3,5,5,2
4,4,6,2
5,4,6,2
6,6,5,1
7,8,3,1
8,6,5,1
9,6,5,1
10,5,6,1
11,6,5,1
12,6,5,1
13,6,5,1
14,6,5,1
15,6,5,1
16,6,3,3
17,6,3,3
18,6,3,3
19,7,2,3
20,7,2,3
21,7,2,3
22,6,2,4
23,6,2,4
24,6,1,5
25,3,1,8
26,3,0,9
27,2,0,10
28,1,0,11
29,1,0,11
30,1,0,11
31,1,0,11
32,1,0,11
33,1,0,11
34,1,0,11
35,1,0,11
36,1,0,11
37,1,0,11
38,1,0,11
39,1,0,11
40,1,0,11
41,0,0,12
42,0,0,12
43,0,0,12
44,0,0,12
45,0,0,12
46,0,0,12
47,0,0,12
48,0,0,12
49,0,0,12
50,0,0,12
51,0,0,12
52,0,0,12
53,0,0,12
54,0,0,12
55,0,0,12
56,0,0,12
57,0,0,12
58,0,0,12
59,0,0,12
60,0,0,12
61,0,0,12
